"Wavelength, µm","n","k"
0.37,1.8700216173234,0.0000073192
0.38,,0.0000025646
0.39,,0.0000011689
0.3913,1.8516255860581
0.4,,6.504e-7
0.405,,5.1628e-7
0.4126,1.8374707714715
0.42,,2.8171e-7
0.4339,1.8262323798466
0.436,,1.9327e-7
0.4552,1.8170946940119
0.46,,1.2209e-7
0.4765,1.8095242343848
0.4978,1.803155581666
0.5,,7.6618e-8
0.5191,1.7977291183308
0.5404,1.7930548640505
0.546,,3.8662e-8
0.5617,1.7889903663666
0.58,,2.9778e-8
0.583,1.7854266026774
0.6043,1.7822786683156
0.62,,3.7858e-8
0.6256,1.7794794394722
0.6469,1.7769751487395
0.66,,4.03e-8
0.6682,1.7747222267051
0.6895,1.7726850031375
0.7,,3.3676e-8
0.7108,1.770834004936
0.7321,1.7691446766161
0.7534,1.7675964052635
0.7747,1.7661717683505
0.796,1.764855947008
0.8173,1.7636362637211
0.8386,1.7625018146862
0.8599,1.7614431749629
0.8812,1.7604521601554
0.9025,1.7595216323879
0.9238,1.7586453412828
0.9451,1.7578177928092
0.9664,1.7570341404875
0.9877,1.7562900946446
1.009,1.7555818463379
1.03,1.7549153115073
1.052,1.7542476583872
1.06,,6.7549e-9
1.073,1.7536368786692
1.094,1.7530496354853
1.116,1.7524573847856
1.137,1.7519119964766
1.158,1.7513843448909
1.179,1.7508728761848
1.201,1.750352871008
1.222,1.749870266357
1.243,1.749399915394
1.265,1.7489191446282
1.286,1.7484706427093
1.307,1.748031402791
1.329,1.7475802839426
1.35,1.7471575095371
1.371,1.7467416833136
1.392,1.7463321617489
1.414,1.7459092533808
1.435,1.7455108321272
1.456,1.745117034488
1.478,1.7447089286439
1.499,1.7443231583177
1.52,1.7439406701082
1.53,,7.3606e-8
1.542,1.743543074046
1.563,1.7431661462744
1.584,1.7427914173449
1.605,1.7424185775279
1.627,1.7420296937109
1.648,1.7416598363569
1.669,1.7412910385423
1.691,1.7409055546108
1.712,1.7405381945064
1.733,1.7401712070217
1.755,1.7397869262027
1.776,1.7394200908788
1.797,1.7390530536224
1.818,1.7386856463203
1.84,1.7383001731532
1.861,1.7379315203186
1.882,1.7375620373291
1.904,1.7371739216453
1.925,1.7368023223417
1.946,1.736429499269
1.968,1.7360374828277
1.97,,5.5703e-7
1.989,1.7356617949923
2.01,1.7352845434534
2.031,1.7349056265946
2.053,1.734506774013
2.074,1.734124148243
2.095,1.7337395732603
2.117,1.7333345013263
2.138,1.7329456717109
2.159,1.7325546422717
2.181,1.7321425501313
2.202,1.7317467820593
2.223,1.7313485908418
2.244,1.7309479083004
2.266,1.7305254017421
2.287,1.7301194145517
2.308,1.7297107416211
2.325,,0.0000026396
2.33,1.7292796622612
2.351,1.7288653051168
2.372,1.7284480851707
2.394,1.7280078673325
2.415,1.7275846158954
2.436,1.7271583389063
2.457,1.7267289856421
2.479,1.7262758335293
2.5,1.7258400278796,0.0000038041
